"행정구역","2014년12월_남자 평균연령","2014년12월_여자 평균연령","2014년12월_평균연령"
"서울특별시 강남구 논현1동(1168052100)","39.5","39.6","39.6"
"서울특별시 강남구 논현2동(1168053100)","39.4","40.1","39.8"
"서울특별시 강남구 압구정동(1168054500)","39.5","40.7","40.1"
"서울특별시 강남구 청담동(1168056500)","38.2","40","39.1"
"서울특별시 강남구 삼성1동(1168058000)","38.2","40.9","39.5"
"서울특별시 강남구 삼성2동(1168059000)","36.4","38.1","37.3"
"서울특별시 강남구 대치1동(1168060000)","35.4","37.2","36.3"
"서울특별시 강남구 대치2동(1168061000)","37","39.6","38.3"
"서울특별시 강남구 대치4동(1168063000)","37","38.4","37.8"
"서울특별시 강남구 역삼1동(1168064000)","39.2","38.7","38.9"
"서울특별시 강남구 역삼2동(1168065000)","36","37","36.5"
